本程序的作用是将多实体零件的各切割清单自动创建3D边界框,如果是钣金建模的则提取边界框参数,其它件则提取3D边界框参数到清单里对应的板长、板宽、板厚属性。这三个属性名与工具设置第三页里的平板或用料参数属性名是一致的，工程图里如调用焊件材料表，属性名链接应对应一致。特别注意，因为属性值是提取的，修改建模后不会参变，在系统提示更新3D边界框时重新运行此程序刷新提取！！！	Функция этой программы заключается в автоматическом создании ограничивающей 3D-рамки для каждого списка резки составных деталей. Если это модель из листового металла, параметры ограничивающей рамки извлекаются. Для других деталей параметры 3D-ограничивающей рамки извлекаются из соответствующих атрибутов длины, ширины и толщины пластины в списке. Эти три имени атрибута соответствуют именам атрибутов пластины или параметра материала на третьей странице настроек инструмента. Если таблица материалов сварной детали вызывается в инженерном чертеже, ссылки на имена атрибутов должны быть согласованными. Обратите особое внимание, поскольку значения атрибутов извлекаются и не изменятся после изменения моделирования. Когда система предложит обновить ограничивающую трехмерную рамку, перезапустите эту программу, чтобы обновить извлечение! ! !
应用范围较广的精度等级，用于精度要求比较高一般按尺寸公差IT6或IT7级制造的零件，如5级精度常用在机床轴颈，测量仪器的测量杆、汽轮机主轴、柱塞油泵转子，高精度滚动轴承外圈，一般精度轴承内圈; 如7级精度用于内燃机曲轴、凸轮轴轴颈、水泵轴、齿轮轴、汽车后桥输出轴、电机转子，G级精度滚动轴承内图、印刷机传墨辊等	Прецизионный класс с широким спектром применения, используемый для деталей с относительно высокими требованиями к точности, которые обычно производятся с размерными допусками IT6 или IT7. Например, класс точности 5 обычно используется в шейках станков, измерительных стержнях измерительных приборов, шпинделях турбин, роторах плунжерных масляных насосов, наружных кольцах высокоточных подшипников качения и внутренних кольцах подшипников общей точности; Например, уровень точности 7 используется в коленчатых валах двигателей внутреннего сгорания, шейках распределительных валов, валах водяных насосов, зубчатых валах, выходных валах задней оси автомобилей, роторах двигателей, прецизионных подшипниках качения уровня G, роликах переноса чернил печатных машин и т. д.
用于一般精度要求，通常按尺寸公差IT9~IT10级制造的零件。如8级精度用于拖拉机发动机分配轴轴颈，9级精度以下齿轮铀的配合面，水泵叶轮，离心泵泵体，棉花精梳机前后滚子，9级精度用于内燃机气缸套配合面，自行车中轴，10级精度用于摩托车活塞、印染机导布辊，内燃机活塞环槽底径对活塞中心，气缸套外圈对内孔等	Он используется для деталей с общими требованиями к точности и обычно изготавливается с размерными допусками IT9~IT10. Например, уровень точности 8 используется для шеек распределительного вала двигателя трактора, урановых сопрягаемых поверхностей шестерен ниже уровня точности 9, рабочих колес водяных насосов, корпусов центробежных насосов, передних и задних роликов хлопкочесальных машин, уровень точности 9 используется для сопрягаемых поверхностей гильз цилиндров двигателей внутреннего сгорания, центральных валов велосипедов, уровень точности 10 используется для поршней мотоциклов, направляющих роликов печатных и красильных машин, диаметра нижней части канавки поршневого кольца двигателя внутреннего сгорания в зависимости от центра поршня, наружного кольца гильзы цилиндра в зависимости от внутреннее отверстие и т. д.
图页的第一个工程图视图不含装配体，请选择一个装配体视图再试 The first view of this sheet has NO assembly found, Please select an assembly view to run again	На первом виде этого листа сборка НЕ найдена. Выберите вид сборки для повторного запуска.
用于同轴度或旋转精度要求很高的零件，一般需要按尺寸公差IT5级或高于IT5级制造的零件:如1、2级用于精密测量仪器的主轴和顶尖，柴油机喷油嘴针阀等; 3、4级用于机床主轴轴颈，砂轮轴轴颈，汽轮机主轴，测量仪器的小齿轮轴，高精度滚动轴承内、外圈等	Он используется для деталей, требующих высокой соосности или точности вращения. Как правило, детали, которые должны быть изготовлены в соответствии с уровнем допуска IT5 или выше: например, уровни 1 и 2 для шпинделей и наконечников прецизионных измерительных приборов, игольчатых клапанов форсунок дизельных двигателей и т. д.; уровни 3 и 4 используются для шеек шпинделей станков, шеек валов шлифовальных кругов, шпинделей паровых турбин, валов-шестерен измерительных приборов, внутренних и наружных колец высокоточных подшипников качения и т. д.
装配体文档(*.sldasm)|*.sldasm|SolidWorks Files (*.sldprt; *.sldasm;*.slddrw)|*.sldprt;*.sldasm;*.slddrw|All Files (*.*)|*.*|	Документы сборки (*.sldasm)|*.sldasm|Файлы SolidWorks (*.sldprt; *.sldasm;*.slddrw)|*.sldprt;*.sldasm;*.slddrw|Все файлы (*.*)|*.*|
一般机床零件的工作面或基准，压力机和锻锤的工作面，中等精度钻模的工作面，一般刀量、模具; 机床一般轴承孔对基准面的要求，床头箱一般孔间要求，变速器箱孔; 主轴花键对定心直径，重型机械轴承盖的端而，卷扬机、手动传动装置中的传动轴、气缸轴线	Рабочая поверхность или опорная поверхность обычных деталей станков, рабочая поверхность прессов и ковочных молотков, рабочая поверхность сверлильных штампов средней точности, общее количество инструментов и форм; требования к базовой поверхности общих подшипниковых отверстий станков, общие требования между отверстиями тумбочек, отверстиями коробки передач; центрирующий диаметр шлицев шпинделя, торцов крышек подшипников тяжелой техники, трансмиссионных валов и осей цилиндров в лебедках и устройствах механической трансмиссии
sw文件(*.sldprt,*.sldasm)|*.sldprt;*.sldasm|零件文件(*.sldprt)|*.sldprt|装配体文件(*.sldasm)|*.sldasm|工程图文件(*.slddrw)|*.slddrw	sw-файл (*.sldprt,*.sldasm)|*.sldprt;*.sldasm|Файл детали (*.sldprt)|*.sldprt|Файл сборки (*.sldasm)|*.sldasm|Файл инженерного чертежа (*.slddrw)|*.slddrw
所选工程图视图不含装配体，请选择一个装配体视图再试 The selected view has NO assembly found, Please select an assembly view to run again	Выбранный вид чертежа не содержит сборки — выберите вид сборки и повторите
说明:1.本软件属性名是相关联的,如该页面的"数量"与按纽(数量统计写入属性)中的"数量"是一致的。2.属性名的定义各个公司会不同，在这里集中设置，存在OnCadToolsConfig.ini文件里，插件各模块共同调用。	Пояснение:1. Имена свойств согласованы между модулями программы.2. Свойства настраиваются централизованно и хранятся в OnCadToolsConfig.ini.
